winner,opponent_1,opponent_2,community_cards,winner_card_type
"6d,6s","8d,Kd","3s,Qs","Ks,6h,Jh,6c,Kh",Four of a Kind
"6d,6s","9d,9h","4c,Ac","6h,6c,2h,3c,5d",Four of a Kind
"9d,9h","Kc,Kd","6d,Qd","5h,2d,9c,9s,Jh",Four of a Kind
"7d,7s","Qh,Qc","6s,Jh","7c,5h,3d,6c,7h",Four of a Kind
"Td,Tc","Ac,As","5d,Ad","Js,3s,Jc,Ts,Th",Four of a Kind
"Td,Tc","Ac,As","6s,Kc","Kd,8d,Th,9c,Ts",Four of a Kind
"6d,6s","8s,Ah","7s,Js","8h,6c,5c,2s,6h",Four of a Kind
"8s,8d","9d,9h","Qd,Ah","Qh,8c,3s,8h,Jd",Four of a Kind
"Kc,Kd","Jc,Qc","Tc,Jh","Th,Td,Ks,Ad,Kh",Four of a Kind
"5s,5c","Jc,Jd","3h,Ah","5h,5d,8h,Th,Ks",Four of a Kind
"Jc,Jd","Kc,Kd","3s,Qs","8h,Ks,7h,Js,Jh",Four of a Kind
"7d,7s","9d,9h","9s,Qh","7c,6s,7h,Kc,3s",Four of a Kind
"6d,6s","Td,Tc","7d,Ac","Ks,Jd,6h,6c,4s",Four of a Kind
"Jc,Qc","Kc,Kd","2h,Ks","Qd,Qs,Qh,Ac,5d",Four of a Kind
"6d,6s","Qh,Qc","Jd,Ac","6h,7c,6c,Ts,Kd",Four of a Kind
"Td,Tc","Qs,Ks","7d,Js","Ts,Kh,5s,8d,Th",Four of a Kind
"8d,Kd","7s,As","6d,Ad","Ac,Kh,Kc,Ks,Jh",Four of a Kind
"Qh,Qc","3c,Ac","2h,Kh","As,Qd,Js,7d,Qs",Four of a Kind
"8s,8d","9d,9h","Jc,Qs","Th,Js,8c,Tc,8h",Four of a Kind
"9d,9h","Ts,Kh","3d,Ac","As,9c,Th,9s,5s",Four of a Kind
"Td,Tc","Qh,Ah","7h,Kh","4d,3h,Th,As,Ts",Four of a Kind
"Ts,Qs","8s,8d","4c,Jc","As,5h,Ks,Js,Ac",Royal Flush
"5s,5c","8s,As","9s,Qh","Ah,7h,5h,Qd,5d",Four of a Kind
"Qh,Qc","9d,9h","4s,Ks","Qd,7c,3c,5d,Qs",Four of a Kind
"Jc,Jd","4h,Ah","Ts,Ks","Js,Jh,7h,As,Td",Four of a Kind
"5s,5c","Td,Tc","8s,Jd","9h,6s,5d,5h,7c",Four of a Kind
"Td,Tc","Jc,Jd","7c,7d","Ts,Th,2d,Ah,5s",Four of a Kind
"9h,Ac","Kd,As","Tc,Ks","9c,9d,Ah,9s,Ts",Four of a Kind
"Td,Tc","Jc,Jd","Qd,Ah","Qh,6d,7d,Ts,Th",Four of a Kind
"Jc,Kh","8s,8d","9d,Td","2c,Js,Jd,Tc,Jh",Four of a Kind
"Ac,As","9d,9h","7s,Tc","Jc,6h,Ad,8d,Ah",Four of a Kind
"5s,5c","Kc,Ac","8h,Qh","5d,3s,As,5h,Jc",Four of a Kind
"Qh,Qc","Jc,Kh","Tc,Ac","Kd,7c,4h,Qd,Qs",Four of a Kind
"Kc,Kd","7s,As","9d,Td","Ks,Qd,7c,Kh,Jh",Four of a Kind
"Js,As","6d,Ad","6s,Ts","Jd,Ac,Jc,7c,Jh",Four of a Kind
"5s,5c","Qh,Qc","9s,As","5d,7s,Ts,5h,2c",Four of a Kind
"5s,5c","Ts,As","Jd,Ad","Qs,Ks,5h,5d,Jh",Four of a Kind
"7s,As","9d,9h","Jd,Ad","3c,7c,7h,7d,Qh",Four of a Kind
"Qh,Qc","Kd,As","2h,Ks","Qd,Ts,Qs,Jh,7h",Four of a Kind
"Jc,Kh","Qh,As","6d,9d","Ks,Kc,Ac,Kd,Ah",Four of a Kind
"9d,9h","3c,Ac","7d,8d","Ad,9s,Js,9c,Qd",Four of a Kind
"Ac,As","5s,5c","9h,Js","Ad,Ah,2h,9s,6s",Four of a Kind
"8s,8d","Ac,As","3d,Kc","8h,2d,5c,2h,8c",Four of a Kind
"Qh,Qc","Ac,As","7h,Kh","Kd,Qs,3c,Qd,Ts",Four of a Kind
"8s,8d","Jc,Jd","4s,Ks","7c,2d,8h,8c,9d",Four of a Kind
"9d,9h","6d,6s","Qd,Ah","5s,9c,3c,9s,7s",Four of a Kind
"Js,Ks","Td,Tc","Th,As","Ah,Ts,Qs,9s,5s",Straight Flush
"9d,9h","Td,Tc","2c,Ad","Ac,5c,9c,9s,5s",Four of a Kind
"Js,Ks","4h,Ah","5c,5s","As,Kc,Kd,Kh,3s",Four of a Kind
"6d,6s","Td,Tc","7d,9d","6h,Kc,Kh,6c,2d",Four of a Kind
"Td,Tc","Js,Ks","2h,Qh","6s,Ts,8s,Th,5d",Four of a Kind
"8s,8d","Ac,As","Ks,Ad","8h,Kh,8c,9c,6h",Four of a Kind
"Jc,Jd","7d,7s","2h,Kh","7c,2d,3h,Jh,Js",Four of a Kind
"9d,9h","7s,As","7d,Ac","Js,9s,Ad,9c,6d",Four of a Kind
"Td,Tc","5d,Ad","7s,Kc","Jc,7d,9d,Jd,8d",Straight Flush
"7d,7s","8s,Ah","4s,4d","Ad,7h,7c,Kh,3c",Four of a Kind
"5s,5c","8s,As","3h,Ah","9d,Ad,5h,7s,5d",Four of a Kind
"7d,7s","8s,8d","6h,Jh","4d,7h,7c,Qs,6d",Four of a Kind
"6d,6s","Ts,Qs","8h,9h","3s,4s,5s,2s,Kc",Straight Flush
"5s,5c","Ac,As","Td,Qd","2s,5d,5h,6s,Th",Four of a Kind
"Qs,Ks","Jc,Jd","8d,9c","Qc,2s,4d,Qd,Qh",Four of a Kind
"Jc,Jd","Kc,Ac","5c,5s","Jh,Js,Qh,3d,Ah",Four of a Kind
"6d,6s","Td,Tc","4s,Ac","6h,Jh,8s,6c,4d",Four of a Kind
"4h,Ah","Kc,Kd","Jd,Ac","Tc,Ad,4d,4c,4s",Four of a Kind
"Qh,Qc","8s,8d","9d,Td","Qs,Qd,2c,7h,7s",Four of a Kind
"Td,Tc","Kd,As","2h,Kh","Ac,Th,5s,Ts,Js",Four of a Kind
"Th,Kh","5d,Ad","9s,Qh","As,Td,Ts,Tc,Js",Four of a Kind
"Qh,Ah","Jc,Qc","Jd,Ad","Jh,Kd,Th,6c,Kh",Royal Flush
"Td,Tc","Kc,Kd","3s,Qs","Ad,7c,Ts,Th,3h",Four of a Kind
"Qh,Qc","Kc,Kd","6s,Jh","Kh,Qd,6h,5c,Qs",Four of a Kind
"5s,5c","Qh,Ah","Th,As","5h,8h,9d,5d,4h",Four of a Kind
"7d,7s","9d,9h","4s,Ac","Js,7c,7h,8s,2h",Four of a Kind
"5s,5c","Ac,As","4h,Qc","5d,Qs,5h,Ad,8h",Four of a Kind
"8s,8d","Qh,Qc","6s,Kc","9d,8c,4h,2c,8h",Four of a Kind
"9d,9h","Kc,Ac","6d,Qd","9c,Jd,9s,Ks,3h",Four of a Kind
"Td,Tc","Qh,Ah","8d,9c","Ad,Ts,8h,3c,Th",Four of a Kind
"Ac,As","7d,7s","9d,Td","4d,9h,2h,Ad,Ah",Four of a Kind
"9h,Ah","Qh,Qc","8h,8c","As,4c,Ac,8d,Ad",Four of a Kind
"Qh,Qc","Ts,Kh","3c,3d","As,Ad,Qd,Qs,6h",Four of a Kind
"8s,8d","Qh,As","Tc,Jc","8c,8h,Ac,Td,Js",Four of a Kind
"Kc,Kd","Ac,As","9h,Qh","8d,3d,Ks,Kh,Qd",Four of a Kind
"Td,Tc","9h,Ah","5h,Qh","Ad,Th,Kh,Ts,8d",Four of a Kind
"8s,8d","7d,7s","3d,Kc","6s,8h,8c,As,5c",Four of a Kind
"Kc,Kd","Jc,Jd","2s,2c","9c,8s,Ks,4s,Kh",Four of a Kind
"6d,6s","Ac,As","Qh,Ah","6h,Qs,5c,6c,2s",Four of a Kind
"Qs,Ks","Th,Kh","9c,Jc","Qh,Kc,Qc,Qd,9h",Four of a Kind
"Td,Tc","9d,9h","7d,Ac","3c,Ad,Th,Ts,4d",Four of a Kind
"8s,8d","Qh,Ah","5d,Ad","8c,8h,Jh,Th,Tc",Four of a Kind
"5s,5c","9h,Ac","Ks,Ad","7c,9s,5d,5h,3c",Four of a Kind
"Jc,Jd","Ts,Kh","8h,9h","As,Ac,Jh,Js,5s",Four of a Kind
"Js,As","Td,Tc","6s,Ks","Jd,4h,Kh,Jc,Jh",Four of a Kind
"8s,8d","Ac,As","3c,3d","9h,Qh,6s,8c,8h",Four of a Kind
"9h,Ac","Kc,Kd","6s,Ts","9d,3c,Ah,9s,9c",Four of a Kind
"8s,8d","9d,9h","5h,Qd","2h,Kd,Tc,8c,8h",Four of a Kind
"Td,Tc","5s,5c","8d,9c","2c,Th,Ts,3s,Qc",Four of a Kind
"Qh,Qc","Td,Tc","8h,As","9c,4c,Qs,9h,Qd",Four of a Kind
"8s,8d","Qh,Qc","3c,Kc","8h,Qs,Td,7s,8c",Four of a Kind
"Jc,Jd","Td,Tc","Th,Qc","Js,5d,Jh,8s,Qs",Four of a Kind
"8s,8d","Qh,Qc","Tc,Jh","8h,8c,As,4s,2s",Four of a Kind
"Td,Tc","Kc,Kd","3c,3d","Ts,2d,Ac,Th,Qd",Four of a Kind
"4h,Ah","Qh,Qc","9d,Td","7h,4s,Js,4d,4c",Four of a Kind
"5s,5c","Jc,Jd","Th,Qc","9c,5h,Ks,2h,5d",Four of a Kind
"Th,Kh","Jc,Jd","3c,3d","5d,Jh,6h,Qh,9h",Straight Flush
"Qh,Qc","4h,Ah","9h,Kh","Qs,4c,Qd,Js,6c",Four of a Kind
"Kc,Kd","Ts,As","Js,Qs","2h,Ad,Kh,8s,Ks",Four of a Kind
"9h,Ac","Jc,Qc","5d,Ad","Jd,9s,7h,9c,9d",Four of a Kind
"9s,Ks","8s,8d","9c,Th","Js,Ts,5d,2s,Qs",Straight Flush
"Th,Kh","8s,Ah","6d,Qh","8c,Ts,Tc,Td,3h",Four of a Kind
"9h,Ac","Td,Tc","3d,Jd","6c,Ah,Ad,Kd,As",Four of a Kind
"Ts,As","7d,7s","6d,Qd","Ac,Ah,4c,6h,Ad",Four of a Kind
"5s,5c","Qh,Qc","7s,Js","5d,5h,9s,2c,2d",Four of a Kind
"8s,8d","Kc,Kd","2s,As","7d,8h,7c,8c,4c",Four of a Kind
"7d,7s","8s,8d","9c,Th","3s,7h,2h,7c,2s",Four of a Kind
"7d,7s","9d,9h","4h,Qc","Jd,7h,7c,5h,Th",Four of a Kind
"7s,As","8s,8d","9d,Td","Kc,7h,7c,7d,9s",Four of a Kind
"8s,8d","Td,Tc","3h,Ah","5c,8h,3s,8c,Qc",Four of a Kind
"Qh,Ah","9d,9h","3d,Ac","Qc,2s,Qs,5h,Qd",Four of a Kind
"8s,As","Qh,Qc","7s,Tc","Ah,Ac,4d,Ad,3d",Four of a Kind
"Kc,Kd","Jc,Jd","7d,Td","Ad,Ts,Kh,4h,Ks",Four of a Kind
"Jc,Qc","9d,9h","2h,Ks","Qs,8d,Ad,Qh,Qd",Four of a Kind
"6d,6s","Qh,Qc","4c,Ac","3c,6c,Jc,9s,6h",Four of a Kind
"9d,9h","Jc,Qc","7s,Qh","8c,7c,9s,9c,4d",Four of a Kind
"Js,Ks","Qh,Ah","5c,Tc","Ts,As,Qd,Qs,2d",Royal Flush
"9d,9h","Qs,Ks","5h,Qh","9c,3c,Kh,3s,9s",Four of a Kind
"Qh,Qc","8s,8d","6s,Kc","8h,Qs,2s,Ks,Qd",Four of a Kind
"Ts,Kh","8s,8d","9h,Js","Tc,Td,5s,Th,9s",Four of a Kind
"Jc,Jd","Ts,Qs","6d,9d","Jh,Qc,2h,Js,8c",Four of a Kind
"Js,As","Td,Tc","5h,Qd","9c,Jh,3s,Jd,Jc",Four of a Kind
"8s,8d","Qh,Qc","6s,Kc","5s,Qs,Kh,8h,8c",Four of a Kind
"Td,Tc","9d,9h","Js,Kc","9s,5c,Ts,Jd,Th",Four of a Kind
"Kc,Kd","Qh,Qc","8d,Td","Ks,3h,9c,Kh,6c",Four of a Kind
"Qh,Qc","Jc,Jd","5c,Kc","Js,Ah,8h,Qd,Qs",Four of a Kind
"Td,Tc","Jc,Ah","4s,Qs","Ts,Ks,Js,2h,Th",Four of a Kind
"8s,As","Jc,Jd","4d,Kh","5d,3h,8d,8c,8h",Four of a Kind
"Td,Tc","Qs,Ks","Jd,Ad","Kh,Th,8h,7d,Ts",Four of a Kind
"6d,6s","Jc,Jd","Th,As","Jh,4c,6c,4d,6h",Four of a Kind
"Jc,Jd","7h,Ac","Tc,Ks","Jh,Ah,3s,Js,5s",Four of a Kind
"8s,8d","3c,Ac","5d,Ad","7s,As,9c,8h,8c",Four of a Kind
"Kc,Kd","Td,Tc","5d,As","5c,Kh,Ks,8c,6s",Four of a Kind
"Qh,Qc","Td,Tc","8d,Kd","5s,8s,8c,Qd,Qs",Four of a Kind
"5s,5c","Qh,As","8h,9h","5h,Ks,Jd,Qs,5d",Four of a Kind
"9d,9h","7s,As","Qh,Ah","9s,7h,3d,Kh,9c",Four of a Kind
"6d,6s","Td,Tc","Js,Kc","6c,Qd,6h,7h,9c",Four of a Kind
"6d,Ad","7d,7s","8h,9h","6h,4h,6c,6s,2s",Four of a Kind
"Jc,Jd","7h,Ac","Td,Qd","Js,7d,3d,As,Jh",Four of a Kind
"Td,Tc","Jc,Ah","4s,4d","Ts,Jd,2s,Qh,Th",Four of a Kind
"Jc,Jd","Kc,Kd","8h,Qh","Jh,As,Js,7d,Td",Four of a Kind
"6d,6s","Qh,Qc","8h,8c","Kd,Kh,6c,5h,6h",Four of a Kind
"Td,Tc","9h,Ah","6d,As","9c,Ts,5h,Qs,Th",Four of a Kind
"8s,8d","Ac,As","5h,Qh","8c,9c,3h,8h,9d",Four of a Kind
"6d,6s","Kc,Ac","3c,3d","6h,6c,Tc,Ts,4d",Four of a Kind
"8s,8d","7s,As","5d,Ad","8c,Ah,8h,Js,6c",Four of a Kind
"8d,Kd","Td,Tc","7s,As","Kh,Ks,Kc,Th,3d",Four of a Kind
"Qh,As","3c,Ac","6s,Kc","8c,Qd,Qc,7c,Qs",Four of a Kind
"Kc,Ac","Js,As","7s,Qh","Qc,Qs,Tc,Jc,Ks",Royal Flush
"Qh,Qc","7d,7s","2h,Kh","8h,Qs,Qd,2c,9d",Four of a Kind
"Kc,Kd","5s,5c","7s,Tc","Kh,Ks,3h,Qs,4h",Four of a Kind
"Jc,Jd","Qh,Qc","7s,Qs","5d,Js,9s,Kh,Jh",Four of a Kind
"Qs,Ks","9h,Ah","6d,9d","Js,As,3c,Ts,6h",Royal Flush
"Jc,Jd","Td,Tc","6d,9d","Qh,Jh,Js,3s,Kc",Four of a Kind
"Jc,Ah","8d,Kd","6d,Qd","Ad,8h,7h,Ac,As",Four of a Kind
"Jc,Jd","Ts,Ac","4d,Kh","Th,Jh,Kd,Js,Td",Four of a Kind
"Jc,Jd","Ts,Qs","2c,Ad","Td,Js,4s,Jh,5h",Four of a Kind
"5s,5c","Td,Tc","Kd,Ad","5h,5d,7s,Jd,3d",Four of a Kind
"Kc,Kd","Ts,As","2s,Js","7d,5s,3s,Ks,Kh",Four of a Kind
"Ts,Qs","Kc,Ac","9s,As","4c,Td,Tc,Th,2s",Four of a Kind
"5s,5c","Jc,Jd","6d,9d","5d,3h,4s,5h,7s",Four of a Kind
"9d,9h","Jc,Kh","4s,Qs","Ad,9s,Kd,9c,Ts",Four of a Kind
"6d,6s","Ts,As","9c,Ks","Ad,8s,6h,3s,6c",Four of a Kind
"Ac,As","Qh,Qc","6s,Kc","Ah,2h,Ad,7d,8d",Four of a Kind
"5s,5c","7s,As","6d,Qd","Ah,4s,5h,5d,Ad",Four of a Kind
"Qh,Ah","3c,Ac","5h,Kd","3h,Qd,Qs,Qc,9d",Four of a Kind
"7d,7s","Td,Tc","9h,Js","8d,5d,6d,9c,4d",Straight Flush
"5s,5c","7h,Ac","Th,As","Qs,7s,4c,5d,5h",Four of a Kind
"Ac,As","Ts,Qs","Th,Qc","Ad,Qh,Ah,8h,8d",Four of a Kind
"Qs,Kh","Ts,As","8s,Td","Qh,Qd,Th,2h,Qc",Four of a Kind
"9h,Ah","Qh,Qc","Jc,Qs","5s,9c,9s,6c,9d",Four of a Kind
"6d,6s","Jc,Jd","5h,Qh","6h,6c,7h,2h,3d",Four of a Kind
"Ac,As","5s,5c","5h,Kd","Ad,Ah,4s,7h,3c",Four of a Kind
"7d,7s","Kc,Kd","6c,6h","Ac,7c,7h,4d,3s",Four of a Kind
"7s,As","Qh,Ah","4d,Kh","Qc,7d,7c,6s,7h",Four of a Kind
"Ac,As","Jc,Jd","7d,Js","8d,7s,3d,Ah,Ad",Four of a Kind
"8s,As","Th,Kh","Jc,Qs","Ad,Jh,Ac,Qd,Ah",Four of a Kind
"Qh,Qc","Kc,Kd","8s,Td","5d,4h,3c,Qs,Qd",Four of a Kind
"7d,7s","Td,Tc","4h,Qc","8h,7c,As,7h,Jh",Four of a Kind
"8s,8d","Jc,Jd","Js,Kc","8c,8h,2s,Kd,3h",Four of a Kind
"8s,8d","Td,Tc","3d,Ac","8h,4s,8c,Qd,7c",Four of a Kind
"9s,Ks","Qh,As","7d,Td","9d,9h,9c,Ts,6s",Four of a Kind
"6d,6s","Qh,As","Js,Qs","Qc,6c,6h,2c,5h",Four of a Kind
"Ac,As","Qs,Kh","9h,Js","Kd,Ah,6d,Ad,9c",Four of a Kind
"8s,8d","Ac,As","3c,3d","8h,8c,Tc,Kd,Th",Four of a Kind
"3c,Ac","9d,9h","Js,Qs","6s,3d,2h,3s,3h",Four of a Kind
"7d,7s","Qh,Ah","Ts,Ks","7c,7h,Ad,4c,Qd",Four of a Kind
"Td,Tc","Qh,Ah","Kd,Ad","Ts,Th,As,8h,4s",Four of a Kind
"Qh,Ah","Jc,Kh","9d,Td","9h,Th,Jd,Jh,8h",Straight Flush
"6d,Ad","7d,7s","8h,Jh","7c,5d,6s,6h,6c",Four of a Kind
"Ts,As","7d,7s","6d,9d","4h,Ad,2h,Ac,Ah",Four of a Kind
"7h,Ac","9d,9h","5h,Jh","Ah,Ad,As,8h,Qh",Four of a Kind
"Qh,Qc","9s,Ks","5c,5s","6s,Qs,8c,3s,Qd",Four of a Kind
"7d,7s","Td,Tc","8h,As","3c,7c,Jh,7h,3h",Four of a Kind
"Kc,Kd","9d,9h","Qh,Ah","8d,4h,Ks,Kh,Js",Four of a Kind
"9d,9h","Ac,As","7s,Tc","2c,9c,9s,7h,4c",Four of a Kind
"7d,7s","Ac,As","9h,Kh","7c,8c,5h,7h,4s",Four of a Kind
"5s,5c","Qh,Ah","Ks,Ad","4h,5h,5d,3h,9h",Four of a Kind
"5s,5c","8s,8d","8h,Qh","5h,Js,2h,5d,Qs",Four of a Kind
"Kc,Kd","9d,9h","5h,Qh","Td,2c,Kh,Ks,Ac",Four of a Kind
"6d,6s","8s,8d","3h,Ah","Qd,Kh,6c,6h,8h",Four of a Kind
"9d,9h","7s,As","8c,Ac","7d,Qh,9c,9s,Kd",Four of a Kind
"Td,Tc","Kd,As","5c,5s","Ks,9s,Th,Ts,Qs",Four of a Kind
"7d,7s","Qh,Ah","9s,As","3s,6h,4h,7h,7c",Four of a Kind
"9d,9h","Js,As","6s,Jh","9c,9s,Ts,6h,3s",Four of a Kind
"Qh,Qc","Js,As","8h,8c","Jh,Qs,9d,Qd,6c",Four of a Kind
"Kc,Kd","9d,9h","8d,Td","Ks,3h,6d,Qs,Kh",Four of a Kind
"9d,9h","8s,Ah","3c,3d","Qs,8d,9c,4c,9s",Four of a Kind
"Td,Tc","7s,As","3c,3d","Qs,Ts,Th,2s,Kd",Four of a Kind
"6d,Ad","Ac,As","2h,Ks","6s,Jh,Ts,6c,6h",Four of a Kind
"Ts,Qs","Jc,Ah","Jd,Ac","Ks,As,Js,7c,2s",Royal Flush
"6d,Ad","8d,Kd","Th,Qc","Kc,6h,6s,6c,Qd",Four of a Kind
"Td,Tc","8s,Ah","Js,Qs","Ts,Th,As,5d,7c",Four of a Kind
"6d,6s","Qh,Ah","4d,Kh","Qs,3d,6h,Js,6c",Four of a Kind
"6d,6s","Qh,Ah","8s,Td","Qc,6h,Kc,Jh,6c",Four of a Kind
"5s,5c","Td,Tc","4s,Qs","5h,9d,4d,5d,6h",Four of a Kind
"5s,5c","Jc,Jd","2h,Qh","6c,9c,7c,8c,Ac",Straight Flush
"Jc,Qc","Js,Ks","6d,9d","Tc,6h,Kc,Ah,9c",Straight Flush
"9d,9h","Td,Tc","7d,8d","9s,Ad,9c,3c,7s",Four of a Kind
"6d,6s","Js,Ks","3c,3d","3s,6c,Jd,Td,6h",Four of a Kind
"7d,7s","9d,9h","Js,Ks","9c,7h,Ac,7c,Tc",Four of a Kind
"6d,6s","Ts,As","8h,Qd","6h,6c,4s,Tc,5d",Four of a Kind
"9s,Ks","Qh,Qc","Tc,Jc","Ts,2h,Js,7s,Qs",Straight Flush
"Qh,Qc","9s,Ks","4s,4d","Qd,Ad,Kh,Qs,3c",Four of a Kind
"Kd,As","Td,Tc","Jd,Ad","Kc,Kh,Ks,7h,Th",Four of a Kind
"Td,Tc","8s,8d","9c,Jc","Ts,4s,Th,Qs,Ks",Four of a Kind
"Jc,Qc","5d,Ad","7s,Js","Qd,Kc,Ac,Ts,Tc",Royal Flush
"8s,8d","Jc,Qc","2s,2c","Tc,Kc,8h,8c,4h",Four of a Kind
"Qh,Qc","5d,Ad","4c,Ac","5s,Qd,2c,Qs,9s",Four of a Kind
"6d,6s","8s,Ah","4c,Jc","Ac,6c,3h,6h,4s",Four of a Kind
"5s,5c","Jc,Ah","3d,Ac","Js,2d,4s,5h,5d",Four of a Kind
"8s,8d","Kc,Kd","4s,Ac","Th,8h,Qc,8c,Jc",Four of a Kind
"Ts,As","Jc,Kh","9h,Qh","Tc,Js,Td,Th,Qc",Four of a Kind
"8s,8d","6d,Ad","3s,Qs","8c,8h,As,Ts,7d",Four of a Kind
"Jc,Jd","3c,Ac","6d,Ad","Jh,As,6s,6h,Js",Four of a Kind
"8s,8d","Td,Tc","4h,Qc","8h,5h,8c,2d,3d",Four of a Kind
"7d,7s","9d,9h","4c,Ac","8c,7c,Ad,Qc,7h",Four of a Kind
"Qh,Ah","Jc,Jd","9h,Js","Kh,Qd,5d,Qs,Qc",Four of a Kind
"Td,Tc","9s,Ks","7d,8d","Ts,Kh,3c,Th,Kd",Four of a Kind
"Td,Tc","9s,Ks","Js,Qs","Th,Kc,5c,Ts,Qd",Four of a Kind
"5s,5c","Jc,Jd","3s,Qs","Td,5h,Js,5d,8h",Four of a Kind
"8s,8d","Th,Kh","3d,Ac","8h,8c,9h,Td,Tc",Four of a Kind
"Jc,Jd","Kc,Kd","2s,As","2c,4c,Jh,Js,3d",Four of a Kind
"Kc,Ac","8s,8d","3s,Qs","4c,Kd,4d,Kh,Ks",Four of a Kind
"5s,5c","Jc,Jd","7s,Kc","7c,6h,5h,5d,Kd",Four of a Kind
"Qh,Qc","Js,As","5d,Ad","Qs,Ac,6h,Qd,Tc",Four of a Kind
"Jc,Jd","9s,Ks","4s,Ac","9d,Jh,4h,Qc,Js",Four of a Kind
"Js,As","Jc,Kh","9h,Qh","Ks,3c,Ts,Qs,4h",Royal Flush
"Td,Tc","Jc,Ah","4d,Kh","Jd,5h,2s,Ts,Th",Four of a Kind
"Qh,Qc","Kc,Kd","8c,Ac","5h,7s,Qs,Ks,Qd",Four of a Kind
"6d,6s","9d,9h","7d,Ac","6c,6h,7c,3h,3c",Four of a Kind
"7d,7s","8s,As","Kd,Ad","2s,3s,5s,7h,7c",Four of a Kind
"6d,6s","Jc,Kh","Tc,Jh","Ks,8d,6h,Td,6c",Four of a Kind
"6d,6s","Kc,Kd","9c,Th","Tc,6h,7c,Jc,6c",Four of a Kind
"8s,8d","Kc,Kd","2s,As","8c,Js,8h,4h,6s",Four of a Kind
"8s,8d","Ts,Qs","Tc,Ks","9h,Td,8c,8h,3c",Four of a Kind
"6d,6s","Jc,Jd","Tc,Jh","8c,4s,Qd,6c,6h",Four of a Kind
"5s,5c","Jc,Jd","2s,As","4h,5h,Qd,5d,Th",Four of a Kind
"5s,5c","Kc,Kd","7d,Td","5h,7h,9h,5d,Tc",Four of a Kind
"7d,7s","Ac,As","4s,4d","Qc,7h,7c,Kd,5c",Four of a Kind
"7d,7s","3c,Ac","8h,9h","Ad,9d,7h,7c,Th",Four of a Kind
"Jc,Kh","5d,Ad","Qh,Ah","3d,Jd,Js,5h,Jh",Four of a Kind
"Td,Tc","Kd,Kh","4s,As","Th,Qh,Ts,Kc,Jd",Four of a Kind
"8c,8s","Ah,As","Tc,Qc","8d,9h,8h,Ts,Ac",Four of a Kind
"9s,9d","Kd,Kh","6c,Qd","Kc,Jd,7d,9h,9c",Four of a Kind
"5s,5d","Ah,Ad","Jc,Kc","8s,Ac,5c,5h,Qs",Four of a Kind
"Js,Jh","Kc,Ks","5c,5s","Kd,7h,9h,Jc,Jd",Four of a Kind
"7c,7s","Qs,Qd","Td,Ks","7h,5c,8h,Qh,7d",Four of a Kind
"8s,8c","Js,Jh","4s,Qs","9d,8d,8h,Jc,2c",Four of a Kind
"9d,9s","Td,Th","6d,Qd","9h,Ad,Tc,9c,6s",Four of a Kind
"Th,Td","As,Ah","8d,Ad","Qs,Tc,Ac,Ts,6s",Four of a Kind
"Js,Ks","Ah,As","Th,Jh","Ts,9s,4c,3s,Qs",Straight Flush
"6d,6h","Jh,Qh","Kc,Ac","6s,6c,Jd,Js,Qd",Four of a Kind
"7s,7c","Td,Tc","4s,Qs","7h,3c,Ad,Th,7d",Four of a Kind
"9h,9c","Th,Td","7c,Ah","9s,Ts,9d,Ac,3s",Four of a Kind
"6d,6c","7d,7c","8s,Ts","6h,6s,7h,Qc,3s",Four of a Kind
"8s,8c","Th,Td","6d,Ks","2s,8d,Kd,Ts,8h",Four of a Kind
"6d,6h","9s,9d","4h,Jh","Jd,6c,9h,6s,Ah",Four of a Kind
"Qd,Ad","Th,Kc","8c,Tc","Ts,Kd,Jd,9h,Td",Royal Flush
"9s,9d","7s,7c","Qc,Ad","9c,4h,7h,6h,9h",Four of a Kind
"Ts,Qs","Jd,Ad","6h,Th","Js,Jc,Ks,4s,As",Royal Flush
"Kd,Kh","6d,6h","7d,Qd","5s,Ks,Kc,6c,4s",Four of a Kind
"Td,Kd","Jh,Ah","3s,Ac","Jd,Ad,6h,As,Qd",Royal Flush
"Th,Td","8s,8c","4h,Ah","5d,8h,Js,Ts,Tc",Four of a Kind
"As,Ad","8h,8s","6d,6h","8c,Ah,Jc,6c,Ac",Four of a Kind
"Kd,Kh","8c,8s","5h,Th","4h,2d,Ks,Kc,8h",Four of a Kind
"8c,8d","5h,5d","7s,Kh","5s,4h,2d,8s,8h",Four of a Kind
"Kd,Kh","8c,8s","8d,Ah","Kc,Ks,8h,5s,4d",Four of a Kind
"Ah,As","6d,6h","8h,Ts","9s,6c,Ac,Ad,7c",Four of a Kind
"5h,5d","Js,Ks","8h,9d","Kd,5c,5s,6s,As",Four of a Kind
"Qd,Qc","8c,As","Jd,Ac","Qs,Qh,4s,8s,6s",Four of a Kind
"8c,8d","5h,5d","Td,Jd","5s,7d,8s,3h,8h",Four of a Kind
"Qh,Qc","5h,5d","Ks,Ad","Td,Qs,5c,6d,Qd",Four of a Kind
"7c,7s","8h,Kh","8d,Jd","Qh,5h,7d,7h,Ah",Four of a Kind
"8s,8c","7c,7s","4h,Ah","4s,7d,8d,Ad,8h",Four of a Kind
"Kd,Kc","8h,Ah","Th,Js","5h,Jh,As,Kh,Ks",Four of a Kind
"Js,Jc","5h,5d","2s,Ah","2d,Jh,Jd,5c,4s",Four of a Kind
